task;measure;type;phase;valence;recode;cuectx;task_full;measure_full;notes;Codebook;
WMS;FM Memory;visual;M;N;1;cue;Wechsler Memory Scale;Figural memory—reproduction & Figural memory—delayed recall & Figural memory—recognition ;;;
WMS;General Memory;mix;M;N;1;cue;Wechsler Memory Scale;"SUM: General Memory Index ; NB sum van Verbal Memory Index, Visual Memory, Index Delayed Recall Index";;;
WMS;LM_Retention;verbal;M;N;1;cue;Wechsler Memory Scale;% retention | Logical Memory (narrative memory under free recall) ;;;
WMS;LM_Delay;verbal;M;N;1;cue;Wechsler Memory Scale;Logical Memory (narrative memory under free recall) ;;;
WMS;picture_Recall_delay(20min);visual;M;N;1;cue;Wechsler Memory Scale;"faces: herken je het gezicht?  ; familiy pictures: recall de scene";;;
WMS;picture_Recognition_delay(30min);visual;M;N;1;cue;Wechsler Memory Scale;"faces: herken je het gezicht?  ; familiy pictures: recall de scene";;;
WMS;Verbal Memory;verbal;M;N;1;cue;Wechsler Memory Scale;;;;
WMS;Visual Memory;visual;M;N;1;cue;Wechsler Memory Scale;;;;
WMS;Visual_Delayed;visual;M;N;1;cue;Wechsler Memory Scale;;;;
WMS;VP;verbal;M;N;1;cue;Wechsler Memory Scale;verbal paired associated subscale score;;;
word-pairs;total;verbal;M;N;1;cue;12 word-pairs ;Number of recalled word-pairs;;;
Y-maze;EntriesKnown;spatial;M;N;-1;context;Y-Maze;spatial recognition memory: % entries in known vs novel arms (during 5min);;;
Y-maze;EntriesNovel;spatial;M;N;1;context;Y-Maze;spatial recognition memory: % entries in known vs novel arms (during 5min);;;
Y-maze;TimeKnown;spatial;M;N;-1;context;Y-Maze;spatial recognition memory: % entries in known vs novel arms (during 5min);;;
Y-maze;TimeNovel;spatial;M;N;1;context;Y-Maze;spatial recognition memory: % entries in known vs novel arms (during 5min);;;
