Reference_full;Reference_First Author;Reference_Authors;Reference_Publication Year;Reference_PMID ;Screening_PDF gedownload + in mendeley;Screening_Antwoorden overleg overeenstemming 7.11.16;Screening_Vragen Milou n.a.v. results EG;"Screening_AbstractScreening_EG (1=include; 0 = exclude)";Screening_Notes_EG;"Screening_AbstractScreening_MS (1=include; 0 = exclude)";Screening_Human (1) of Animal (2);Screening_Cognitive Measure;Screening_RDoC (sub)construct ;Screening_Subjects_background (bv military/civilian/animalstrain/etc) words;Screening_military population(1);Screening_PTSD Model?;Screening_Gender;Screening_Dark/light;Screening_Task?;Screening_Brain measures?;Screening_Fysiological measures?;Screening_Psychological measures?;Screening_Intervention?;Screening_Notes_abstract screening;MetaData_Onderwerp, tijdens checken overig.;inclusion;MetaData_FINAL incl/excl_comment;"To do? 081117 (0=checked and no; E&M = vraag Elbert & Marian)";subject;MetaData_QUALITY NOTES;MetaData_NOTES MS during data extraction;MetaData_Data from vehicl injected group?;Data_Subjects_n;Data_Subjects_n_ptsd;Data_Subjects_n_control;"Data_Subjects_gender_ptsd (M = male; F = female; - = not reported)";"Data_Subjects_gender_control (M = male; F = female; - = not reported)";Data_Subjects_m_Age_ptsd (- = not reported);Data_Subjects_sd_Age_ptsd (- = not reported);Data_Subjects_m_Age_control (- = not reported);Data_Subjects_sd_Age_control (- = not reported);Data_Subjects_trauma-type_OR_PTSD-model;Data_Subjects_FS_#Shocks;Data_Subjects_FS_Amperage(mA);Data_Subjects_PTSDtypeSHORT2;"MetaData_PTSD Model in Borghans etal.2015? (1=ja; - = na)";"MetaData_Good model according to Flandreau etal. 2017? (1=ja; - = na)";Data_Subjects_Controle Group;Data_Subjects_Controltype;Multiple Control groups? (HUMAN);Data_Subjects_Strain_or_Population;Data_Subjects_ptsd-measure;MetaData_Timing_TaakVoor(Pre)ofNa(Post)Trauma?;Data_Method_study-design;Data_Method_Experimental Groups (n);Data_Method_TimeTask-Trauma;Data_Method_Task;task;Data_Method_animal light dark testing?;Data_Method_Measure;measure;MetaData_KeyFinding;"MetaData_KeyFindingSHORT(+PTSDmore;-PTSDminder;0NoDiff)";Memory index nog berekenen!;Comparison;ID_Experimental_group;ID_Control_group;Data_Outcome1_VarName;Data_Outcome1_M;Data_Outcome1_SD;Data_Outcome1_SEM;Data_Outcome2_VarName;Data_Outcome2_M;Data_Outcome2_SD;Data_Outcome2_SEM;Data_Diff_outcome1&2_SUM;Data_Diff_outcome1&2_Statistic;Data_Outcome3_VarName;Data_Outcome3_M;Data_Outcome3_SD;Data_Outcome3_SEM;Data_Outcome4_VarName;Data_Outcome4_M;Data_Outcome4_SD;Data_Outcome4_SEM;Data_Diff_outcome3&4_SUM;Data_Diff_Outcome 3&4_Statistic;Data_Diff_Outcome1&2+3&4_SUM;Data_Diff_Outcome1&2+3&4_Statistic;Data_Outcome5_VarName;Data_Outcome5_M;Data_Outcome5_SD;Data_Outcome5_SEM;Data_Outcome6_VarName;Data_Outcome6_M;Data_Outcome6_SD;Data_Outcome6_SEM;Data_Diff_Outcome5-6_SUM;Data_Diff_Outcome5-6_Statistic;Data_Outcome7_VarName;Data_Outcome7_M;Data_Outcome7_SD;Data_Outcome7_SEM;Data_Outcome8_VarName;Data_Outcome8_M;Data_Outcome8_SD;Data_Outcome8_SEM;Data_Diff_Outcome7-8_SUM;Data_Diff_Outcome7-8_Statistic;Data_Diff_Outcome5&6+7&8_SUM;Data_Diff_Outcome5&6+7&8_Statistic;Data_Outcome9_VarName;Data_Outcome9_M;Data_Outcome9_SD;Data_Outcome9_SEM;Data_Outcome10_VarName;Data_Outcome10_M;Data_Outcome10_SD;Data_Outcome10_SEM;Data_Diff_Outcome 8-10 SUM;Data_Diff_Outcome 9-10 Statistic;Data_Outcome11_VarName;Data_Outcome11_M;Data_Outcome11_SD;Data_Outcome11_SEM;Data_Outcome12_VarName;Data_Outcome12_M;Data_Outcome12_SD;Data_Outcome12_SEM;Data_Diff_Outcome11-12 SUM;Data_Diff_Outcome11-12 Statistic;Data_Diff_General SUM
Gao, J., Wang, H., Liu, Y., Li, Y.-Y., Chen, C., Liu, L.-M., … Yang, C. (2014). Glutamate and GABA imbalance promotes neuronal apoptosis in hippocampus after stress. Medical Science Monitor : International Medical Journal of Experimental and Clinical Research, 20, 499–512. http://doi.org/10.12659/MSM.890589;Gao;Gao, J., Wang, H., Liu, Y., Li, Y.-Y., Chen, C., Liu, L.-M., … Yang, C. ;2014;24675061;1;;;1;;1;2;emotion, cognitive behavior,;Cognitive system - Declarative Memory & Negative Valence - Potential Threat (anxiety) & Acute Threat (fear);rats;;IFS;;;EPM+OF+MWM + hot-plate test;brain morphology, apoptosis, and balance of gamma-aminobutyric acid (GABA) and glutamate in the hippocampus and prefrontal cortex;body weight and plasma corticosterone concentrations) & freezing;;;;foot shock & freezing to truama cue & morriz water maze learning;0;Chronic PTSD | trauma van 3 dagen.. Te chronisch?;;4;;lastig om uit te vinden of er voor iedere behavioral test dezelfde of andere animals gebruikt zijn | total aantal dieren en vermelde groepen terug gerekend --> ieder gedragsexperiment heeft zn eigen sham & stress group dieren DUS aparte animals voor freezing & spatial (maar voor learning en memory bij spatial wel zelfe dieren);0;18;8;10;M;M;4-6 months;not reported;4-6 months;not reported;"20 inescapable footshocks (6x in 3 days; 2x per dag, >4h interval tusesn shocks); 30min in stress box, 20 IFS's (8mA, 3s, interval 7.5s-15s) | p.501: For traumatic stress, rats were con ned to an enclosed box (stress box) for 30 min and given 20 inescapable electrical shocks (intensity: 8 mA, duration: 3 s) with a random shock interval ranging from 7.5 to 15 s (Figure 1). The sham-stressed rats were kept in the stress box without delivering the shock. -- Highlighted 25 Oct 2017";20 * 6;8;FS (3day);1;1;exsposed to stresbox(context), no shock;ShamExp;;Sprague-Dawley rats;Exposed vs non-exposed;Post;between subjects;2;7 day;Morris Water Maze (20-23 gr) 3 extra-maze cue's on wall, ook 1 week after stress - memory data;MWM;"12h/12h light-dark cycle; All experiments were performed between 8: 00 a.m. and 6: 00 p.m"; na learning trials probe test (aantal keer door target quadrant as index for spatial memory (in 120s) | het lijkt erop dat er iedere dag 4 learning trials zijn & 1 probe (memory) test is;crossings right quarant;stress animals lower average number of crossings then control on day 3,4,5 (dus slechter spatial memory) of controls leren eerder | Overal anova:  [F (1, 16)=19.457, p<0.0001] ;-;;;;;PTSD_MWM_TimesOfCrossingPlatform(Memory)_Day1;1,29308;-;0,38812;Control_MWM_TimesOfCrossingPlatform(Memory)_Day1;2,3332;-;0,61194;no difference; Day 1 (t (16)=1.757, p=0.098);PTSD_MWM_TimesOfCrossingPlatform(Memory)_Day2;1,43829;-;0,37314;Control_MWM_TimesOfCrossingPlatform(Memory)_Day2;2,71728;-;0,53725;no difference;and 2 (t (16)=1.917, p=0.073) ;-;-;PTSD_MWM_TimesOfCrossingPlatform(Memory)_Day3;2,07648;-;0,16424;Control_MWM_TimesOfCrossingPlatform(Memory)_Day3;3,83315;-;0,58202;ptsd rats lower number of crossings;Day 3 (t (16)=2.894, p=0.015);PTSD_MWM_TimesOfCrossingPlatform(Memory)_Day4;1,81884;-;0,40304;Control_MWM_TimesOfCrossingPlatform(Memory)_Day4;3,63514;-;0,28358;ptsd rats lower number of crossings;day 4 (t (16)=3.912, p=0.001);-;-;PTSD_MWM_TimesOfCrossingPlatform(Memory)_Day5;2,11324;-;0,22388;Control_MWM_TimesOfCrossingPlatform(Memory)_Day5;4,28781;-;0,35815;ptsd rats lower number of crossings;day 5 (t (16)=5.747, p=0);-;;;;;;;;;;
Gao, J., Wang, H., Liu, Y., Li, Y.-Y., Chen, C., Liu, L.-M., … Yang, C. (2014). Glutamate and GABA imbalance promotes neuronal apoptosis in hippocampus after stress. Medical Science Monitor : International Medical Journal of Experimental and Clinical Research, 20, 499–512. http://doi.org/10.12659/MSM.890589;Gao;Gao, J., Wang, H., Liu, Y., Li, Y.-Y., Chen, C., Liu, L.-M., … Yang, C. ;2014;24675061;1;;;1;;1;2;emotion, cognitive behavior,;Cognitive system - Declarative Memory & Negative Valence - Potential Threat (anxiety) & Acute Threat (fear);rats;;IFS;;;EPM+OF+MWM + hot-plate test;brain morphology, apoptosis, and balance of gamma-aminobutyric acid (GABA) and glutamate in the hippocampus and prefrontal cortex;body weight and plasma corticosterone concentrations) & freezing;;;;foot shock & freezing to truama cue & morriz water maze learning;0;Chronic PTSD | trauma van 3 dagen.. Te chronisch?;;4;;lastig om uit te vinden of er voor iedere behavioral test dezelfde of andere animals gebruikt zijn | total aantal dieren en vermelde groepen terug gerekend --> ieder gedragsexperiment heeft zn eigen sham & stress group dieren DUS aparte animals voor freezing & spatial (maar voor learning en memory bij spatial wel zelfe dieren);0;18;8;10;M;M;4-6 months;not reported;4-6 months;not reported;"20 inescapable footshocks (6x in 3 days; 2x per dag, >4h interval tusesn shocks); 30min in stress box, 20 IFS's (8mA, 3s, interval 7.5s-15s) | p.501: For traumatic stress, rats were con ned to an enclosed box (stress box) for 30 min and given 20 inescapable electrical shocks (intensity: 8 mA, duration: 3 s) with a random shock interval ranging from 7.5 to 15 s (Figure 1). The sham-stressed rats were kept in the stress box without delivering the shock. -- Highlighted 25 Oct 2017";20 * 6;8;FS (3day);1;1;exsposed to stresbox(context), no shock;ShamExp;;Sprague-Dawley rats;Exposed vs non-exposed;Post;between subjects;2;7 day;Morris Water Maze (20-23 gr) 3 extra-maze cue's on wall, ook 1 week after stress - learning data;MWM;"12h/12h light-dark cycle; All experiments were performed between 8: 00 a.m. and 6: 00 p.m";escape latencies to find platform gem in 60s van 4 trials ;LatencyTime(s);on day 2 en day 4 stress group slechter leren, op day 1,3 5, geen verschil.. Leren langzamer? | Overall anova: [F (1, 16)=15.654, p=0.001,] main effec time & stress;-;;;;;PTSD_MWM_EscapeLatency(learning)_Day1;45,0788;-;7,1841;Control_MWM_EscapeLatency(learning)_Day1;14,7566;-;5,5875;no diference;Day 1 (t (16)=0.197, p=0.846);PTSD_MWM_EscapeLatency(learning)_Day2;41,3295;-;7,4502;Control_MWM_EscapeLatency(learning)_Day2;14,9984;-;3,725;stress group langer latency to escape = slechter spatial learning;(Day 2: t (16)=2.891, p=0.011;-;-;PTSD_MWM_EscapeLatency(learning)_Day3;28,5328;-;7,5831;Control_MWM_EscapeLatency(learning)_Day3;12,1794;-;4,124;no difference;day 3 (t (16)=1.449, p=0.167);PTSD_MWM_EscapeLatency(learning)_Day4;44,5171;-;7,0952;Control_MWM_EscapeLatency(learning)_Day4;8,82901;-;2,52769;stress group langer latency to escape = slechter spatial learning;day 4: t (16)=4.280, p=0.003);-;-;PTSD_MWM_EscapeLatency(learning)_Day5;15,7126;-;6,3859;Control_MWM_EscapeLatency(learning)_Day5;8,13982;-;5,45458;no difference;day 5 (t (16)=1.453, p=0.186) ;-;;;;;;;;;;
Gao, J., Wang, H., Liu, Y., Li, Y.-Y., Chen, C., Liu, L.-M., … Yang, C. (2014). Glutamate and GABA imbalance promotes neuronal apoptosis in hippocampus after stress. Medical Science Monitor : International Medical Journal of Experimental and Clinical Research, 20, 499–512. http://doi.org/10.12659/MSM.890589;Gao;Gao, J., Wang, H., Liu, Y., Li, Y.-Y., Chen, C., Liu, L.-M., … Yang, C. ;2014;24675061;1;;;1;;1;2;emotion, cognitive behavior,;Cognitive system - Declarative Memory & Negative Valence - Potential Threat (anxiety) & Acute Threat (fear);rats;;IFS;;;EPM+OF+MWM + hot-plate test;brain morphology, apoptosis, and balance of gamma-aminobutyric acid (GABA) and glutamate in the hippocampus and prefrontal cortex;body weight and plasma corticosterone concentrations) & freezing;;;;foot shock & freezing to truama cue & morriz water maze learning;0;Chronic PTSD | trauma van 3 dagen.. Te chronisch?;;4;;lastig om uit te vinden of er voor iedere behavioral test dezelfde of andere animals gebruikt zijn | total aantal dieren en vermelde groepen terug gerekend --> ieder gedragsexperiment heeft zn eigen sham & stress group dieren DUS aparte animals voor freezing & spatial (maar voor learning en memory bij spatial wel zelfe dieren);0;18;8;10;M;M;4-6 months;not reported;4-6 months;not reported;"20 inescapable footshocks (6x in 3 days; 2x per dag, >4h interval tusesn shocks); 30min in stress box, 20 IFS's (8mA, 3s, interval 7.5s-15s) | p.501: For traumatic stress, rats were con ned to an enclosed box (stress box) for 30 min and given 20 inescapable electrical shocks (intensity: 8 mA, duration: 3 s) with a random shock interval ranging from 7.5 to 15 s (Figure 1). The sham-stressed rats were kept in the stress box without delivering the shock. -- Highlighted 25 Oct 2017";20 * 6;8;FS (3day);1;1;exsposed to stresbox(context), no shock;ShamExp;;Sprague-Dawley rats;Exposed vs non-exposed;Post;between subjects;2;7 day;Contextual freezing measurement (3min re-exposure to stress box without shock (between 9am & 12 am in 1e week after stress);SR;"12h/12h light-dark cycle; All experiments were performed between 8: 00 a.m. and 6: 00 p.m";% Freezing = freezing periods/total periods x 100;% Freezing;PTSD more freezing to trauma context na 1 week;+;;;;;PTSD_1weekAfterIFS_ContextualFreezing%;86,1485;-;4,5977;Control_1weekAfterIFS_ContextualFreezing%;5,80327;-;1,3793;ptsd rats more contextual freezing then control 1 week after trauma;"t(16)=16,278; p=0.0001";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Garabadu, D., Ahmad, A., & Krishnamurthy, S. (2015). Risperidone Attenuates Modified Stress-Re-stress Paradigm-Induced Mitochondrial Dysfunction and Apoptosis in Rats Exhibiting Post-traumatic Stress Disorder-Like Symptoms. Journal of Molecular Neuroscience : MN, 56(2), 299–312. http://doi.org/10.1007/s12031-015-0532-7;Garabadu;Garabadu, D., Ahmad, A., & Krishnamurthy, S. ;2015;25750029;1;;;1;;1;2;spatial recognition memory, anxiety, depressive like behavior;Cognitive system - Declarative Memory & Negative Valence - Potential Threat (anxiety);rats;;2 h restraint and 20 min forced swim followed by halothane anesthesia on day 2 (D-2);M;;depressive-like symptom (increase in immobility period) in forced swim, anxiety-like behavior (decrease in percentage of open arm entries and time spent) in elevated plus maze and cognitive deficits (loss in spatial recognition memory) in Y-maze tests;;;;;;;1;wel restress, nu niet geinterpreteerd als chronisch..;;4;;;0;10 ( total exp. 6*5=30);5;5;M;M;adult;-;adult;-;Modified Stress re-stress (SRS) [D1: SPS (2h restraint, 20min forced swiming, ether anesthesia) + restress on D8, D14, D20, D26, D30 by exposure to forced swimming procedure for 20min;;;SPS + Restress(D8, D14, D20, D26, D30 )  - Chronic?;1;1;no exposure to spss (undisterbed?) staat verder niets specifiek bij…;UnExp;;Charles Foster rats;exposed vs non-exposed;Post;between subjects;2 (SRS & Control);32 day;"Y-Maze test on day 32; 2h after restress session EPM en dan an 5min Y-maze test; spatial recognition memory";Y-maze;? [ animals on 12/12 light/dark cycle;% time spent in novel arm to time spent in all arms;TimeNovel;PTSD less spatial recognition memory then control! (contral kan wel differencieren!);-;1 (is al compared to time in all arms) dus toch niet?;D;78;70;PTSD_SRS_%TimeNovel;22,4107;-;0,8036;Control_%TimeNovel;45,9821;-;1,1608;Control more % novel arm entries then ptsd [Control group more novel entries then known enteries. PTSD group more known entries then novel entries --> control  recognize better];p<0.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Garabadu, D., Ahmad, A., & Krishnamurthy, S. (2015). Risperidone Attenuates Modified Stress-Re-stress Paradigm-Induced Mitochondrial Dysfunction and Apoptosis in Rats Exhibiting Post-traumatic Stress Disorder-Like Symptoms. Journal of Molecular Neuroscience : MN, 56(2), 299–312. http://doi.org/10.1007/s12031-015-0532-7;Garabadu;Garabadu, D., Ahmad, A., & Krishnamurthy, S. ;2015;25750029;1;;;1;;1;2;spatial recognition memory, anxiety, depressive like behavior;Cognitive system - Declarative Memory & Negative Valence - Potential Threat (anxiety);rats;;2 h restraint and 20 min forced swim followed by halothane anesthesia on day 2 (D-2);M;;depressive-like symptom (increase in immobility period) in forced swim, anxiety-like behavior (decrease in percentage of open arm entries and time spent) in elevated plus maze and cognitive deficits (loss in spatial recognition memory) in Y-maze tests;;;;;;;1;wel restress, nu niet geinterpreteerd als chronisch..;;4;;;0;10 ( total exp. 6*5=30);5;5;M;M;adult;-;adult;-;Modified Stress re-stress (SRS) [D1: SPS (2h restraint, 20min forced swiming, ether anesthesia) + restress on D8, D14, D20, D26, D30 by exposure to forced swimming procedure for 20min;;;SPS + Restress(D8, D14, D20, D26, D30 )  - Chronic?;1;1;no exposure to spss (undisterbed?) staat verder niets specifiek bij…;UnExp;;Charles Foster rats;exposed vs non-exposed;Post;between subjects;2 (SRS & Control);32 day;"Y-Maze test on day 32; 2h after restress session EPM en dan an 5min Y-maze test; spatial recognition memory";Y-maze;? [ animals on 12/12 light/dark cycle;% time spent in novel arm to time spent in all arms;TimeKnown;PTSD less spatial recognition memory then control! (contral kan wel differencieren!);-;1 (is al compared to time in all arms) dus toch niet?;D;78;70;PTSD_SRS_%TimeKnown;46,4286;-;3,2143;Control_%TimeKnown;30,3679;-;2,0428;PTSD more % known arm entries then control [Control group more novel entries then known enteries. PTSD group more known entries then novel entries --> control  recognize better];p<0.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
George, S. A., Rodriguez-Santiago, M., Riley, J., Abelson, J. L., Floresco, S. B., & Liberzon, I. (2015). Alterations in cognitive flexibility in a rat model of post-traumatic stress disorder. Behavioural Brain Research, 286, 256–264. http://doi.org/10.1016/j.bbr.2015.02.051;George;George, S. A., Rodriguez-Santiago, M., Riley, J., Abelson, J. L., Floresco, S. B., & Liberzon, I. ;2015;25746511;1;;;1;;1;2;cognitive flexibility;"Cognitive system - Cognitive controle - Goal selection; updating; represenation and maintenance";rats;;SPS;;;reversal learning and strategy set-shifting;;;;;;"cognitive flexibility; executive functioning; reversal learning & strategy set-shifting; Cognitive flexibility involves the updating and modifying of previously learned behavioral response strategies and is critical for successful adaptation to a changing environment [11,12]. --> In deze taak leren van regel (lever press for food pelet), dan SPS en dan regel omgedraagid (pre oposite lever for food)";2;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Geracioti, T. D. J., Jefferson-Wilson, L., Strawn, J. R., Baker, D. G., Dashevsky, B. A., Horn, P. S., & Ekhator, N. N. (2013). Effect of traumatic imagery on cerebrospinal fluid dopamine and serotonin metabolites in posttraumatic stress disorder. Journal of Psychiatric Research, 47(7), 995–998. Journal Article, Randomized Controlled Trial, Research Support, U.S. Gov’t, Non-P.H.S. http://doi.org/10.1016/j.jpsychires.2013.01.023;Geracioti;Geracioti, T. D. J., Jefferson-Wilson, L., Strawn, J. R., Baker, D. G., Dashevsky, B. A., Horn, P. S., & Ekhator, N. N. ;2013;23540599;1;check de full tekst.. Gebeurd er eits cognitiefs? Zelde ;autobiographic recall trigger? Maar misschien wordt het te 'wazig';1;mmm;1;1;trauma recall;Negative Valence - Acute Threat (fear);ptsd chronic veterans;1;;;;video;CSF serotonine & dopamine;blood pressure, heart rate;;;niet cognitief/gedragsmatig genoeg?;;0;"No Healthy Control | geen controle group; geen behaviroual/cog. Taak.. Maar trauma video & serotonine/dopamine metabolites meten in CSF";0;2;;;;;10;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Geuze, E., Vermetten, E., de Kloet, C. S., Hijman, R., & Westenberg, H. G. M. (2009). Neuropsychological performance is related to current social and occupational functioning in veterans with posttraumatic stress disorder. Depression and Anxiety, 26(1), 7–15. Journal Article, Research Support, Non-U.S. Gov’t. http://doi.org/10.1002/da.20476;Geuze;Geuze, E., Vermetten, E., de Kloet, C. S., Hijman, R., & Westenberg, H. G. M. ;2009;18800372;1;;;1;;1;1;intellegence, learning, memory;Cognitive system - Declarative Memory;ptsd veterans;1;;;;wechsler;;;;;;;1;;;2;;LET OP: zelfde subjects, wel iets afwijkende groepsgrotes;0;47;22;25;M;M;33,32;4,76;34,8;4,6;Deployment (bosnia, lebanon, combodia, afghanistan);;;Deployment;-;-;combat controls;TraumaExp;0;Veterans;"Structured Clinical Interview for DSM-IV (SCID-IV) & Clinician-Administered PTSD scale (CAPS) [ score under 20 controle group; ptsd group caps score groter dan 50]";Post;between subjects;2;;California Verbal-learning Test (CVLT);CVLT;-;Total correct trials 1–5 ;Trial1-5;No difference between ptsd & control;0;;C;11;10;PTSD_CVLT_Total correct trials 1–5;53,14;11,35;-;Control_CVLT_Total correct trials 1–5;57,52;8;-;No diff;"F(1,45) = 2.39; p=.129  || NS";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-;-;;;;;;;;;;;;;;;;;;;;;-
Geuze, E., Vermetten, E., de Kloet, C. S., Hijman, R., & Westenberg, H. G. M. (2009). Neuropsychological performance is related to current social and occupational functioning in veterans with posttraumatic stress disorder. Depression and Anxiety, 26(1), 7–15. Journal Article, Research Support, Non-U.S. Gov’t. http://doi.org/10.1002/da.20476;Geuze;Geuze, E., Vermetten, E., de Kloet, C. S., Hijman, R., & Westenberg, H. G. M. ;2009;18800372;1;;;1;;1;1;intellegence, learning, memory;Cognitive system - Declarative Memory;ptsd veterans;1;;;;wechsler;;;;;;;1;;;2;;LET OP: zelfde subjects, wel iets afwijkende groepsgrotes;0;47;22;25;M;M;33,32;4,76;34,8;4,6;Deployment (bosnia, lebanon, combodia, afghanistan);;;Deployment;-;-;combat controls;TraumaExp;0;Veterans;"Structured Clinical Interview for DSM-IV (SCID-IV) & Clinician-Administered PTSD scale (CAPS) [ score under 20 controle group; ptsd group caps score groter dan 50]";Post;between subjects;2;;California Verbal-learning Test (CVLT);CVLT;-; Immediate recall;SDfree;No difference between ptsd & control;0;;C;11;10;PTSD_CVLT_Immediate recall;11,86;3,37;-;Control_CVLT_Immediate recall;12,12;2,42;-;no diff;"F(1,45) = 0.09; p= .764 ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Geuze, E., Vermetten, E., de Kloet, C. S., Hijman, R., & Westenberg, H. G. M. (2009). Neuropsychological performance is related to current social and occupational functioning in veterans with posttraumatic stress disorder. Depression and Anxiety, 26(1), 7–15. Journal Article, Research Support, Non-U.S. Gov’t. http://doi.org/10.1002/da.20476;Geuze;Geuze, E., Vermetten, E., de Kloet, C. S., Hijman, R., & Westenberg, H. G. M. ;2009;18800372;1;;;1;;1;1;intellegence, learning, memory;Cognitive system - Declarative Memory;ptsd veterans;1;;;;wechsler;;;;;;;1;;;2;;LET OP: zelfde subjects, wel iets afwijkende groepsgrotes;0;47;22;25;M;M;33,32;4,76;34,8;4,6;Deployment (bosnia, lebanon, combodia, afghanistan);;;Deployment;-;-;combat controls;TraumaExp;0;Veterans;"Structured Clinical Interview for DSM-IV (SCID-IV) & Clinician-Administered PTSD scale (CAPS) [ score under 20 controle group; ptsd group caps score groter dan 50]";Post;between subjects;2;;California Verbal-learning Test (CVLT);CVLT;-; Immediate cued recall;SDcued;No difference between ptsd & control;0;;C;11;10;PTSD_CVLT_Immediate cued recall;11,86;2,59;-;Control_CVLT_Immediate cued recall;12,56;2,48;-;Control > PTSD;"F(1,45)  0.88; p=.352 ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Geuze, E., Vermetten, E., de Kloet, C. S., Hijman, R., & Westenberg, H. G. M. (2009). Neuropsychological performance is related to current social and occupational functioning in veterans with posttraumatic stress disorder. Depression and Anxiety, 26(1), 7–15. Journal Article, Research Support, Non-U.S. Gov’t. http://doi.org/10.1002/da.20476;Geuze;Geuze, E., Vermetten, E., de Kloet, C. S., Hijman, R., & Westenberg, H. G. M. ;2009;18800372;1;;;1;;1;1;intellegence, learning, memory;Cognitive system - Declarative Memory;ptsd veterans;1;;;;wechsler;;;;;;;1;;;2;;LET OP: zelfde subjects, wel iets afwijkende groepsgrotes;0;47;22;25;M;M;33,32;4,76;34,8;4,6;Deployment (bosnia, lebanon, combodia, afghanistan);;;Deployment;-;-;combat controls;TraumaExp;0;Veterans;"Structured Clinical Interview for DSM-IV (SCID-IV) & Clinician-Administered PTSD scale (CAPS) [ score under 20 controle group; ptsd group caps score groter dan 50]";Post;between subjects;2;;California Verbal-learning Test (CVLT);CVLT;-; Hits recognition;LDrecog;No difference between ptsd & control;0;;C;11;10;PTSD_CVLT_Hits recognition;15,05;1,13;-;Control_CVLT_Hits recognition;15,24;1,01;-;no diff;"F(1,45) = 0.39; p= .537";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Geuze, E., Vermetten, E., de Kloet, C. S., Hijman, R., & Westenberg, H. G. M. (2009). Neuropsychological performance is related to current social and occupational functioning in veterans with posttraumatic stress disorder. Depression and Anxiety, 26(1), 7–15. Journal Article, Research Support, Non-U.S. Gov’t. http://doi.org/10.1002/da.20476;Geuze;Geuze, E., Vermetten, E., de Kloet, C. S., Hijman, R., & Westenberg, H. G. M. ;2009;18800372;1;;;1;;1;1;intellegence, learning, memory;Cognitive system - Declarative Memory;ptsd veterans;1;;;;wechsler;;;;;;;1;;;2;;LET OP: zelfde subjects, wel iets afwijkende groepsgrotes;0;47;22;25;M;M;33,32;4,76;34,8;4,6;Deployment (bosnia, lebanon, combodia, afghanistan);;;Deployment;-;-;combat controls;TraumaExp;0;Veterans;"Structured Clinical Interview for DSM-IV (SCID-IV) & Clinician-Administered PTSD scale (CAPS) [ score under 20 controle group; ptsd group caps score groter dan 50]";Post;between subjects;2;;California Verbal-learning Test (CVLT);CVLT;-; Delayed cued recall ;LDfree;No difference between ptsd & control;0;;C;11;10;PTSD_CVLT_Delayed cued recall;12,45;2,72;-;Control_CVLT_Delayed cued recall;12,76;2,28;-;no diff;"F(1,45) = 0.18; p=.677";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Geuze, E., Vermetten, E., de Kloet, C. S., Hijman, R., & Westenberg, H. G. M. (2009). Neuropsychological performance is related to current social and occupational functioning in veterans with posttraumatic stress disorder. Depression and Anxiety, 26(1), 7–15. Journal Article, Research Support, Non-U.S. Gov’t. http://doi.org/10.1002/da.20476;Geuze;Geuze, E., Vermetten, E., de Kloet, C. S., Hijman, R., & Westenberg, H. G. M. ;2009;18800372;1;;;1;;1;1;intellegence, learning, memory;Cognitive system - Declarative Memory;ptsd veterans;1;;;;wechsler;;;;;;;1;;;2;;LET OP: zelfde subjects, wel iets afwijkende groepsgrotes;0;47;22;25;M;M;33,32;4,76;34,8;4,6;Deployment (bosnia, lebanon, combodia, afghanistan);;;Deployment;-;-;combat controls;TraumaExp;0;Veterans;"Structured Clinical Interview for DSM-IV (SCID-IV) & Clinician-Administered PTSD scale (CAPS) [ score under 20 controle group; ptsd group caps score groter dan 50]";Post;between subjects;2;;California Verbal-learning Test (CVLT);CVLT;-; Delayed recall ;LDfree;No difference between ptsd & control;0;;C;11;10;PTSD_CVLT_Delayed recall;11,77;3,35;-;Control_CVLT_Delayed recall;12,4;2,47;-;no diff;"F(1,45) = 0.54; p=.465";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
