"";"PMID";"Title";"Authors";"Citation";"First Author";"Journal/Book";"Publication Year";"Create Date";"PMCID";"NIHMS ID";"DOI";"Screening_Human (1) of Animal (2)";"topic_to_read";"Criteria1_PTSD group / model";"Criteria2_healthy control group";"Criteria3_experimental studie";"Criteria4_adult subjects";"Criteria5_MemoryFC";"Criteria_5a behavioral measure";"Criteria_5b_post trauma measure (cases)";"Criteria_7_Availability";"inclusion.screening";"Data_Subjects_ResSus.split";"full.text.checked";"Screening_Notes_abstract screening";"Screening_Notes_full.screening"
"11";30944165;"Using fMRI connectivity to define a treatment-resistant form of post-traumatic stress disorder";"Etkin A, Maron-Katz A, Wu W, Fonzo GA, Huemer J, V√©rtes PE, Patenaude B, Richiardi J, Goodkind MS, Keller CJ, Ramos-Cejudo J, Zaiko YV, Peng KK, Shpigel E, Longwell P, Toll RT, Thompson A, Zack S, Gonzalez B, Edelstein R, Chen J, Akingbade I, Weiss E, Hart R, Mann S, Durkin K, Baete SH, Boada FE, Genfi A, Autea J, Newman J, Oathes DJ, Lindley SE, Abu-Amara D, Arnow BA, Crossley N, Hallmayer J, Fossati S, Rothbaum BO, Marmar CR, Bullmore ET, O'Hara R.";"Sci Transl Med. 2019 Apr 3;11(486):eaal3236. doi: 10.1126/scitranslmed.aal3236.";"Etkin A";"Sci Transl Med";2019;2019-04-05;"PMC6980337";"NIHMS1062539";"10.1126/scitranslmed.aal3236";1;"NA";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"1";"NA";1;"hc group?";"ptsd & hc groups"
"12";30428446;"Memory bias and its association with memory function in women with posttraumatic stress disorder";"Itoh M, Hori H, Lin M, Niwa M, Ino K, Imai R, Ogawa S, Matsui M, Kamo T, Kim Y.";"J Affect Disord. 2019 Feb 15;245:461-467. doi: 10.1016/j.jad.2018.10.365. Epub 2018 Nov 2.";"Itoh M";"J Affect Disord";2019;2018-11-15;"NA";"NA";"10.1016/j.jad.2018.10.365";1;"NA";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
"13";30422805;"Posttraumatic stress and autobiographical memory in chronic pain patients";"Siqveland J, Hauff E, Ruud T, Brennen TJ.";"Scand J Pain. 2019 Apr 24;19(2):337-343. doi: 10.1515/sjpain-2018-0044.";"Siqveland J";"Scand J Pain";2019;2018-11-14;"NA";"NA";"10.1515/sjpain-2018-0044";1;"NA";"yes";"yes";"yes";"ys";"yes";"yes";"yes";NA;"1";"NA";NA;"15-cue-words version of the Autobiographical Memory Test (AMT); wel alll chronic pain patiens";NA
"14";30177846;"The neural dynamics of deficient memory control in heavily traumatized refugees";"Waldhauser GT, Dahl MJ, Ruf-Leuschner M, M√ºller-Bamouh V, Schauer M, Axmacher N, Elbert T, Hanslmayr S.";"Sci Rep. 2018 Sep 3;8(1):13132. doi: 10.1038/s41598-018-31400-x.";"Waldhauser GT";"Sci Rep";2018;2018-09-05;"PMC6120867";"NA";"10.1038/s41598-018-31400-x";1;"NA";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
"15";30052053;"Earthquake brain: Impairment of spatial memory following long-term earthquake-related stress";"Bell CJ, Frampton CM, Colhoun HC, Douglas KM, McIntosh VV, Carter FA, Jordan J, Carter JD, Smith RA, Marie LM, Loughlin A, Porter RJ.";"Aust N Z J Psychiatry. 2019 Jan;53(1):37-47. doi: 10.1177/0004867418789498. Epub 2018 Jul 27.";"Bell CJ";"Aust N Z J Psychiatry";2019;2018-07-28;"NA";"NA";"10.1177/0004867418789498";1;"NA";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
"16";29727810;"PTSD in women is associated with a block in conversion of progesterone to the GABAergic neurosteroids allopregnanolone and pregnanolone measured in plasma";"Pineles SL, Nillni YI, Pinna G, Irvine J, Webb A, Arditte Hall KA, Hauger R, Miller MW, Resick PA, Orr SP, Rasmusson AM.";"Psychoneuroendocrinology. 2018 Jul;93:133-141. doi: 10.1016/j.psyneuen.2018.04.024. Epub 2018 Apr 24.";"Pineles SL";"Psychoneuroendocrinology";2018;2018-05-05;"NA";"NA";"10.1016/j.psyneuen.2018.04.024";1;"NA";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
"17";29550677;"The BDNF Val66Met polymorphism moderates the relationship between Posttraumatic Stress Disorder and fear extinction learning";"Felmingham KL, Zuj DV, Hsu KCM, Nicholson E, Palmer MA, Stuart K, Vickers JC, Malhi GS, Bryant RA.";"Psychoneuroendocrinology. 2018 May;91:142-148. doi: 10.1016/j.psyneuen.2018.03.002. Epub 2018 Mar 6.";"Felmingham KL";"Psychoneuroendocrinology";2018;2018-03-19;"NA";"NA";"10.1016/j.psyneuen.2018.03.002";1;"NA";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
"18";29482857;"Cognitive function in Japanese women with posttraumatic stress disorder: Association with exercise habits";"Narita-Ohtaki R, Hori H, Itoh M, Lin M, Niwa M, Ino K, Imai R, Ogawa S, Sekiguchi A, Matsui M, Kunugi H, Kamo T, Kim Y.";"J Affect Disord. 2018 Aug 15;236:306-312. doi: 10.1016/j.jad.2018.02.061. Epub 2018 Feb 21.";"Narita-Ohtaki R";"J Affect Disord";2018;2018-02-28;"NA";"NA";"10.1016/j.jad.2018.02.061";1;"NA";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
"19";29287830;"Deficits in episodic memory and mental time travel in patients with post-traumatic stress disorder";"Zlomuzica A, Woud ML, Machulska A, Kleimt K, Dietrich L, Wolf OT, Assion HJ, Huston JP, De Souza Silva MA, Dere E, Margraf J.";"Prog Neuropsychopharmacol Biol Psychiatry. 2018 Apr 20;83:42-54. doi: 10.1016/j.pnpbp.2017.12.014. Epub 2017 Dec 26.";"Zlomuzica A";"Prog Neuropsychopharmacol Biol Psychiatry";2018;2017-12-31;"NA";"NA";"10.1016/j.pnpbp.2017.12.014";1;"NA";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
"20";29216235;"Association between memory impairment and brain metabolite concentrations in North Korean refugees with posttraumatic stress disorder";"Shin JE, Choi CH, Lee JM, Kwon JS, Lee SH, Kim HC, Han NY, Choi SH, Yoo SY.";"PLoS One. 2017 Dec 7;12(12):e0188953. doi: 10.1371/journal.pone.0188953. eCollection 2017.";"Shin JE";"PLoS One";2017;2017-12-08;"PMC5720673";"NA";"10.1371/journal.pone.0188953";1;"spect. negative association between hippocampal NAA levels and delayed recall score on the auditory verbal learning test (β = -1.744, p = 0.011) in the non-PTSD group, but not in the PTSD group";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
"21";29154809;"Facilitated acquisition of the classically conditioned eyeblink response in active duty military expressing posttraumatic stress disorder symptoms";"Handy JD, Avcu P, Ko N, Ortiz A, Doria MJ, Servatius RJ.";"Behav Brain Res. 2018 Feb 26;339:106-113. doi: 10.1016/j.bbr.2017.11.014. Epub 2017 Nov 14.";"Handy JD";"Behav Brain Res";2018;2017-11-21;"NA";"NA";"10.1016/j.bbr.2017.11.014";1;"NA";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"1";"NA";1;"ptsd group?";"fig1 ptsd vs hc"
"22";28781928;"Posttraumatic Stress Disorder and Autobiographical Memories in Everyday Life";"Sch√∂nfeld S, Ehlers A.";"Clin Psychol Sci. 2017 Mar;5(2):325-340. doi: 10.1177/2167702616688878. Epub 2017 Mar 13.";"Sch√∂nfeld S";"Clin Psychol Sci";2017;2017-08-08;"PMC5528199";"NA";"10.1177/2167702616688878";1;"NA";"yes";"yes";"yes";"yes";"yes";"no";"yes";"yes";"1";"NA";1;"memory task?";"autobiografical memory diary"
"23";28778834;"Susceptibility to traumatic stress sensitizes the dopaminergic response to cocaine and increases motivation for cocaine";"Brodnik ZD, Black EM, Clark MJ, Kornsey KN, Snyder NW, Espa√±a RA.";"Neuropharmacology. 2017 Oct;125:295-307. doi: 10.1016/j.neuropharm.2017.07.032. Epub 2017 Aug 1.";"Brodnik ZD";"Neuropharmacology";2017;2017-08-06;"PMC5585061";"NIHMS898741";"10.1016/j.neuropharm.2017.07.032";2;"NA";"yes PSS";"?";"yes";"?";"yes";"yes";"yes";NA;"1";"yes";NA;"paper in human & animal search";NA
"24";28712089;"Increased recruitment of cognitive control in the presence of traumatic stimuli in complex PTSD";"Herzog JI, Niedtfeld I, Rausch S, Thome J, Mueller-Engelmann M, Steil R, Priebe K, Bohus M, Schmahl C.";"Eur Arch Psychiatry Clin Neurosci. 2019 Mar;269(2):147-159. doi: 10.1007/s00406-017-0822-x. Epub 2017 Jul 15.";"Herzog JI";"Eur Arch Psychiatry Clin Neurosci";2019;2017-07-17;"NA";"NA";"10.1007/s00406-017-0822-x";1;"NA";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"wel complex ptsd";NA
"25";27919830;"Newly acquired and reactivated contextual fear memories are more intense and prone to generalize after activation of prelimbic cortex NMDA receptors";"Vanvossen AC, Portes MAM, Scoz-Silva R, Reichmann HB, Stern CAJ, Bertoglio LJ.";"Neurobiol Learn Mem. 2017 Jan;137:154-162. doi: 10.1016/j.nlm.2016.12.002. Epub 2016 Dec 2.";"Vanvossen AC";"Neurobiol Learn Mem";2017;2016-12-07;"NA";"NA";"10.1016/j.nlm.2016.12.002";2;"NB not in animal search; prelimbic ctx = dACC; fear gen & activatie dACC";"yes";"?";"yes";"yes";"yes";"yes";"yes";"yes";"1";"NA";1;"ptsd model?";"US 1mA"
"26";27686278;"Deficient fear extinction memory in posttraumatic stress disorder";"Wicking M, Steiger F, Nees F, Diener SJ, Grimm O, Ruttorf M, Schad LR, Winkelmann T, Wirtz G, Flor H.";"Neurobiol Learn Mem. 2016 Dec;136:116-126. doi: 10.1016/j.nlm.2016.09.016. Epub 2016 Sep 26.";"Wicking M";"Neurobiol Learn Mem";2016;2016-11-05;"NA";"NA";"10.1016/j.nlm.2016.09.016";1;"NA";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
"27";27794690;"Neural Substrates of Overgeneralized Conditioned Fear in PTSD";"Kaczkurkin AN, Burton PC, Chazin SM, Manbeck AB, Espensen-Sturges T, Cooper SE, Sponheim SR, Lissek S.";"Am J Psychiatry. 2017 Feb 1;174(2):125-134. doi: 10.1176/appi.ajp.2016.15121549. Epub 2016 Oct 31.";"Kaczkurkin AN";"Am J Psychiatry";2017;2016-11-01;"PMC7269602";"NIHMS1590410";"10.1176/appi.ajp.2016.15121549";1;"NA";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
"28";27641312;"Altered Pain Perception and Fear-Learning Deficits in Subjects With Posttraumatic Stress Disorder";"Jenewein J, Erni J, Moergeli H, Grillon C, Schumacher S, Mueller-Pfeiffer C, Hassanpour K, Seiler A, Wittmann L, Schnyder U, Hasler G.";"J Pain. 2016 Dec;17(12):1325-1333. doi: 10.1016/j.jpain.2016.09.002. Epub 2016 Sep 15.";"Jenewein J";"J Pain";2016;2016-09-20;"PMC5580085";"NIHMS900865";"10.1016/j.jpain.2016.09.002";1;"NA";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
"29";27761402;"Neural changes in extinction recall following prolonged exposure treatment for PTSD: A longitudinal fMRI study";"Helpman L, Marin MF, Papini S, Zhu X, Sullivan GM, Schneier F, Neria M, Shvil E, Malaga Aragon MJ, Markowitz JC, Lindquist MA, Wager T, Milad M, Neria Y.";"Neuroimage Clin. 2016 Oct 10;12:715-723. doi: 10.1016/j.nicl.2016.10.007. eCollection 2016.";"Helpman L";"Neuroimage Clin";2016;2016-10-21;"PMC5065048";"NA";"10.1016/j.nicl.2016.10.007";1;"NA";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
"30";27716541;"Acquisition of CS-US contingencies during Pavlovian fear conditioning and extinction in social anxiety disorder and posttraumatic stress disorder";"Rabinak CA, Mori S, Lyons M, Milad MR, Phan KL.";"J Affect Disord. 2017 Jan 1;207:76-85. doi: 10.1016/j.jad.2016.09.018. Epub 2016 Sep 23.";"Rabinak CA";"J Affect Disord";2017;2016-10-08;"PMC6642659";"NIHMS1040685";"10.1016/j.jad.2016.09.018";1;"NA";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
"31";27412783;"Reduced amygdala responsivity during conditioning to trauma-related stimuli in posttraumatic stress disorder";"Diener SJ, Nees F, Wessa M, Wirtz G, Frommberger U, Penga T, Ruttorf M, Ruf M, Schmahl C, Flor H.";"Psychophysiology. 2016 Oct;53(10):1460-71. doi: 10.1111/psyp.12699. Epub 2016 Jul 14.";"Diener SJ";"Psychophysiology";2016;2016-07-15;"NA";"NA";"10.1111/psyp.12699";1;"NA";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
"32";26917165;"Association of Resting Metabolism in the Fear Neural Network With Extinction Recall Activations and Clinical Measures in Trauma-Exposed Individuals";"Marin MF, Song H, VanElzakker MB, Staples-Bradley LK, Linnman C, Pace-Schott EF, Lasko NB, Shin LM, Milad MR.";"Am J Psychiatry. 2016 Sep 1;173(9):930-8. doi: 10.1176/appi.ajp.2015.14111460. Epub 2016 Feb 26.";"Marin MF";"Am J Psychiatry";2016;2016-02-27;"NA";"NA";"10.1176/appi.ajp.2015.14111460";1;"NA";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
"33";26866677;"Extinction retention and the menstrual cycle: Different associations for women with posttraumatic stress disorder";"Pineles SL, Nillni YI, King MW, Patton SC, Bauer MR, Mostoufi SM, Gerber MR, Hauger R, Resick PA, Rasmusson AM, Orr SP.";"J Abnorm Psychol. 2016 Apr;125(3):349-55. doi: 10.1037/abn0000138. Epub 2016 Feb 11.";"Pineles SL";"J Abnorm Psychol";2016;2016-02-12;"NA";"NA";"10.1037/abn0000138";1;"NA";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
"34";26863536;"Breakdown of Inter-Hemispheric Connectivity Is Associated with Posttraumatic Symptomatology and Memory Impairment";"Saar-Ashkenazy R, Veksler R, Guez J, Jacob Y, Shelef I, Shalev H, Friedman A, Cohen JE.";"PLoS One. 2016 Feb 10;11(2):e0144766. doi: 10.1371/journal.pone.0144766. eCollection 2016.";"Saar-Ashkenazy R";"PLoS One";2016;2016-02-11;"PMC4749292";"NA";"10.1371/journal.pone.0144766";1;"NA";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
"35";26670285;"Fear learning circuitry is biased toward generalization of fear associations in posttraumatic stress disorder";"Morey RA, Dunsmoor JE, Haswell CC, Brown VM, Vora A, Weiner J, Stjepanovic D, Wagner HR 3rd; VA Mid-Atlantic MIRECC Workgroup, LaBar KS.";"Transl Psychiatry. 2015 Dec 15;5(12):e700. doi: 10.1038/tp.2015.196.";"Morey RA";"Transl Psychiatry";2015;2015-12-17;"PMC5068591";"NA";"10.1038/tp.2015.196";1;"fear generalization in ptsd";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
"36";26149734;"Behavioral and central correlates of contextual fear learning and contextual modulation of cued fear in posttraumatic stress disorder";"Steiger F, Nees F, Wicking M, Lang S, Flor H.";"Int J Psychophysiol. 2015 Dec;98(3 Pt 2):584-93. doi: 10.1016/j.ijpsycho.2015.06.009. Epub 2015 Jul 3.";"Steiger F";"Int J Psychophysiol";2015;2015-07-08;"NA";"NA";"10.1016/j.ijpsycho.2015.06.009";1;"impared fear contextualization in ptsd (contingency scores): cue / contex ptsd patients; more hipp activation during conditioning?;";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
"37";25847536;"Failing to forget: inhibitory-control deficits compromise memory suppression in posttraumatic stress disorder";"Catarino A, K√ºpper CS, Werner-Seidler A, Dalgleish T, Anderson MC.";"Psychol Sci. 2015 May;26(5):604-16. doi: 10.1177/0956797615569889. Epub 2015 Apr 6.";"Catarino A";"Psychol Sci";2015;2015-04-08;"PMC4426138";"NA";"10.1177/0956797615569889";1;"inhibitor control over memory";"yes";"yes";"yes";"yes";"yes Memory supression";"yes";"yes";"yes";"1";"NA";1;"check task";"directed forgetting / remember"
"38";25350012;"The Effects of Mild Traumatic Brain Injury, Post-Traumatic Stress Disorder, and Combined Mild Traumatic Brain Injury/Post-Traumatic Stress Disorder on Returning Veterans";"Combs HL, Berry DT, Pape T, Babcock-Parziale J, Smith B, Schleenbaker R, Shandera-Ochsner A, Harp JP, High WM Jr.";"J Neurotrauma. 2015 Jul 1;32(13):956-66. doi: 10.1089/neu.2014.3585. Epub 2015 Feb 26.";"Combs HL";"J Neurotrauma";2015;2014-10-29;"PMC4492613";"NA";"10.1089/neu.2014.3585";1;"NA";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
"39";25274821;"Impaired contextual modulation of memories in PTSD: an fMRI and psychophysiological study of extinction retention and fear renewal";"Garfinkel SN, Abelson JL, King AP, Sripada RK, Wang X, Gaines LM, Liberzon I.";"J Neurosci. 2014 Oct 1;34(40):13435-43. doi: 10.1523/JNEUROSCI.4287-13.2014.";"Garfinkel SN";"J Neurosci";2014;2014-10-03;"PMC4262698";"NA";"10.1523/JNEUROSCI.4287-13.2014";1;"contextualization of fear impaired in ptsd";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
"40";25022773;"De novo fear conditioning across diagnostic groups in the affective disorders: evidence for learning impairments";"Otto MW, Moshier SJ, Kinner DG, Simon NM, Pollack MH, Orr SP.";"Behav Ther. 2014 Sep;45(5):619-29. doi: 10.1016/j.beth.2013.12.012. Epub 2014 Jan 5.";"Otto MW";"Behav Ther";2014;2014-07-16;"PMC4603557";"NIHMS638416";"10.1016/j.beth.2013.12.012";1;"NA";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"1";"NA";1;"ptsd group?";"ptsd group present; fig 1 ,2"
"41";24886016;"Autobiographical memory specificity in dissociative identity disorder";"Huntjens RJ, Wessel I, Hermans D, van Minnen A.";"J Abnorm Psychol. 2014 May;123(2):419-28. doi: 10.1037/a0036624.";"Huntjens RJ";"J Abnorm Psychol";2014;2014-06-03;"NA";"NA";"10.1037/a0036624";1;"NA";"yes";"yes";"yes";"yes";"yes";"yes am";"yes";NA;"1";"NA";NA;"am";NA
"42";24561216;"Thermal signature of fear conditioning in mild post traumatic stress disorder";"Di Giacinto A, Brunetti M, Sepede G, Ferretti A, Merla A.";"Neuroscience. 2014 Apr 25;266:216-23. doi: 10.1016/j.neuroscience.2014.02.009. Epub 2014 Feb 20.";"Di Giacinto A";"Neuroscience";2014;2014-02-25;"NA";"NA";"10.1016/j.neuroscience.2014.02.009";1;"NA";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
"43";24473965;"Reduced corpus-callosum volume in posttraumatic stress disorder highlights the importance of interhemispheric connectivity for associative memory";"Saar-Ashkenazy R, Cohen JE, Guez J, Gasho C, Shelef I, Friedman A, Shalev H.";"J Trauma Stress. 2014 Feb;27(1):18-26. doi: 10.1002/jts.21887. Epub 2014 Jan 28.";"Saar-Ashkenazy R";"J Trauma Stress";2014;2014-01-30;"NA";"NA";"10.1002/jts.21887";1;"left hemi: encoding; right hemi: retrieval; minder communicatie tussen helften in ptsd";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
"44";23966914;"Directed forgetting in post-traumatic-stress-disorder: a study of refugee immigrants in Germany";"Baumann M, Zwissler B, Schalinski I, Ruf-Leuschner M, Schauer M, Kissler J.";"Front Behav Neurosci. 2013 Aug 7;7:94. doi: 10.3389/fnbeh.2013.00094. eCollection 2013.";"Baumann M";"Front Behav Neurosci";2013;2013-08-23;"PMC3736047";"NA";"10.3389/fnbeh.2013.00094";1;"NA";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
"45";23594034;"Cortisol effects on autobiographic memory retrieval in PTSD: an analysis of word valence and time until retrieval";"Wingenfeld K, Driessen M, Schlosser N, Terfehr K, Carvalho Fernando S, Wolf OT.";"Stress. 2013 Sep;16(5):581-6. doi: 10.3109/10253890.2013.796925. Epub 2013 May 23.";"Wingenfeld K";"Stress";2013;2013-04-19;"NA";"NA";"10.3109/10253890.2013.796925";1;"﻿The enhancing effect of cortisol on memory retrieval in PTSD seemed to be relatively independent of cue-word valence, while in the control group the impairing effects of cortisol were only seen in response to neutral cue-words";"yes";"yes";"yes";"yes";"yes";"yes am";"yes";NA;"1";"NA";NA;"am";NA
"46";23412330;"Impact of posttraumatic stress disorder and depression on neuropsychological functioning in electrical injury survivors";"Grigorovich A, Gomez M, Leach L, Fish J.";"J Burn Care Res. 2013 Nov-Dec;34(6):659-65. doi: 10.1097/BCR.0b013e31827e5062.";"Grigorovich A";"J Burn Care Res";2013;2013-02-16;"NA";"NA";"10.1097/BCR.0b013e31827e5062";1;"NA";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
